"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Demonic Tutor","B","863","423","0.490","2.04","0","141","1763.3714222235963"
"Swords to Plowshares","W","911","427","0.469","2.13","1","98","1745.069581229728"
"Lightning Bolt","R","945","423","0.448","2.23","2","136","1670.4568767437154"
"Force of Will","U","946","415","0.439","2.28","2","124","1768.9170455966187"
"Path to Exile","W","1071","420","0.392","2.55","2","68","1580.8720856465454"
"Sylvan Library","G","1083","414","0.382","2.62","4","126","1443.782140943285"
"Hymn to Tourach","B","1135","419","0.369","2.71","5","100","1413.4899572681193"
"Mother of Runes","W","1174","424","0.361","2.77","10","72","1524.2672568879555"
"Llanowar Elves","G","1300","425","0.327","3.06","14","113","1466.182367696497"
"Mana Leak","U","1298","419","0.323","3.10","11","64","1567.7006913465118"
"Counterspell","U","1299","419","0.323","3.10","14","95","1580.5654492862827"
"Mind Control","U","1333","424","0.318","3.14","21","121","1446.3975892734459"
"Inquisition of Kozilek","B","1371","428","0.312","3.20","7","35","1557.306364716598"
"Joraga Treespeaker","G","1371","413","0.301","3.32","26","110","1347.441622549456"
"Control Magic","U","1410","416","0.295","3.39","22","63","1470.2387237278208"
"Guardian of the Guildpact","W","1488","436","0.293","3.41","18","79","1495.14049396592"
"Preordain","U","1456","426","0.293","3.42","20","57","1521.6383818146207"
"Strip Mine","","1427","414","0.290","3.45","21","86","1732.1659036844371"
"Chain Lightning","R","1449","416","0.287","3.48","25","52","1546.4408549335587"
"Fyndhorn Elves","G","1469","418","0.285","3.51","22","68","1429.1729047153299"
"Journey to Nowhere","W","1563","434","0.278","3.60","10","1","1431.9663304273924"
"Dismember","B","1558","422","0.271","3.69","20","27","1623.439596852006"
"Nekrataal","B","1602","428","0.267","3.74","28","38","1404.7577475185267"
"Baleful Strix","BU","1544","406","0.263","3.80","22","61","1432.8946966976507"
"Doom Blade","B","1657","426","0.257","3.89","23","10","1432.7188309210906"
"Mulldrifter","U","1706","436","0.256","3.91","30","50","1397.3414464352522"
"Ultimate Price","B","1638","418","0.255","3.92","26","2","1416.7611793822985"
"Animate Dead","B","1641","418","0.255","3.93","43","113","1543.2125221518568"
"Go for the Throat","B","1675","426","0.254","3.93","15","3","1410.1772623644597"
"Shriekmaw","B","1693","428","0.253","3.96","31","21","1427.737534201945"
"Eternal Witness","G","1683","417","0.248","4.04","33","25","1361.6260675807644"
"Utopia Sprawl","G","1707","416","0.244","4.10","42","56","1327.8199674953123"
"Flametongue Kavu","R","1703","405","0.238","4.20","46","69","1403.2662192991188"
"Staggershock","R","1776","421","0.237","4.22","46","28","1359.804109878709"
"Porcelain Legionnaire","W","1797","424","0.236","4.24","30","0","1370.8628819205398"
"Hypnotic Specter","B","1874","435","0.232","4.31","51","91","1381.8344255411982"
"Serra Angel","W","1903","441","0.232","4.32","57","81","1352.4192571099557"
"Sakura-Tribe Elder","G","1863","431","0.231","4.32","42","32","1351.3452782213303"
"Snuff Out","B","1890","430","0.228","4.40","32","2","1490.3257590683272"
"Miscalculation","U","1851","416","0.225","4.45","35","10","1563.0518431440237"
"Arbor Elf","G","1861","412","0.221","4.52","42","28","1380.569665947339"
"Cultivate","G","1939","419","0.216","4.63","58","40","1368.896541036305"
"Mana Tithe","W","1999","431","0.216","4.64","41","0","1293.3802585303822"
"Lingering Souls","BW","1989","418","0.210","4.76","53","15","1331.2724812345161"
"Fact or Fiction","U","2020","421","0.208","4.80","60","33","1444.3028110610844"
"Kodama's Reach","G","1969","410","0.208","4.80","59","43","1381.3346008956628"
"Lightning Helix","RW","2064","429","0.208","4.81","48","9","1333.8598713504923"
"Skinrender","B","2091","426","0.204","4.91","56","28","1372.41539574321"
"Booster Tutor","B","2172","440","0.203","4.94","86","98","1544.0330059000275"
"Blood Artist","B","2136","427","0.200","5.00","66","61","1346.7852405654853"
"Kitchen Finks","GW","2069","413","0.200","5.01","59","4","1345.7229634421217"
"Flame Slash","R","2089","415","0.199","5.03","65","0","1492.8861498528108"
"Night's Whisper","B","2145","426","0.199","5.04","65","3","1330.2827962901022"
"Cloudgoat Ranger","W","2095","414","0.198","5.06","72","8","1299.604938882815"
"Dismiss","U","2135","416","0.195","5.13","72","10","1437.8227711089921"
"Explore","G","2229","433","0.194","5.15","69","7","1286.770364748534"
"Soltari Priest","W","2127","410","0.193","5.19","55","0","1177.2346424610307"
"Forked Bolt","R","2167","417","0.192","5.20","66","2","1354.5819974319838"
"Burst Lightning","R","2178","418","0.192","5.21","73","2","1398.766218045533"
"Leonin Relic-Warder","W","2238","427","0.191","5.24","75","0","1159.0201364171514"
"Grafted Wargear","","2223","421","0.189","5.28","75","12","1368.1038479236813"
"Magma Jet","R","2268","429","0.189","5.29","73","0","1413.3407457418411"
"Incinerate","R","2169","410","0.189","5.29","71","4","1444.9340262478277"
"Riftwing Cloudskate","U","2174","410","0.189","5.30","69","12","1388.919133135211"
"Fiend Hunter","W","2295","430","0.187","5.34","62","0","1332.968792683384"
"Azorius Arrester","W","2206","411","0.186","5.37","64","0","1229.263975132575"
"Repeal","U","2274","423","0.186","5.38","68","0","1324.4518026812652"
"Sprout Swarm","G","2252","418","0.186","5.39","96","84","1327.9368791726638"
"Oblivion Ring","W","2301","427","0.186","5.39","79","0","1331.0419228101773"
"Force Spike","U","2299","426","0.185","5.40","77","2","1360.3774601373973"
"Vampire Nighthawk","B","2252","414","0.184","5.44","69","14","1366.5782406089907"
"Flickerwisp","W","2268","415","0.183","5.47","74","0","1278.0085623556033"
"Spectral Procession","W","2290","416","0.182","5.50","82","0","1242.8240748070036"
"Bone Shredder","B","2340","421","0.180","5.56","77","0","1356.2785192861604"
"Coiling Oracle","GU","2362","416","0.176","5.68","88","4","1263.2425895109027"
"Arc Trail","R","2383","418","0.175","5.70","94","0","1368.3219525648765"
"Forbid","U","2380","417","0.175","5.71","90","12","1381.7127574268482"
