"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Angel of Light","W","500","500","1.000","1.00","0","175","1229.6411801242875"
"Swords to Plowshares","W","888","500","0.563","1.78","0","131","1706.3265801126454"
"Gluttonous Zombie","B","915","500","0.546","1.83","0","132","1210.706848214545"
"Silverback Ape","G","949","500","0.527","1.90","0","127","1190.7952707191519"
"Lightning Bolt","R","952","500","0.525","1.90","0","166","1683.8923184969706"
"Path to Exile","W","1028","500","0.486","2.06","0","102","1558.3502333568317"
"Reanimate","B","1145","500","0.437","2.29","3","159","1658.6786561942024"
"Birds of Paradise","G","1169","500","0.428","2.34","2","133","1595.523553046378"
"Chain Lightning","R","1206","500","0.415","2.41","0","93","1520.0969110641315"
"Counterspell","U","1225","500","0.408","2.45","2","138","1579.9223920674015"
"Mana Leak","U","1246","500","0.401","2.49","5","112","1597.3536401844601"
"Order of the Sacred Bell","G","1314","500","0.381","2.63","4","105","1169.997663877273"
"Dark Ritual","B","1360","500","0.368","2.72","9","125","1459.3570104036594"
"Llanowar Elves","G","1462","500","0.342","2.92","10","98","1469.7097371057466"
"Goblin Guide","R","1484","500","0.337","2.97","8","119","1318.193465934176"
"Brainstorm","U","1517","500","0.330","3.03","7","74","1512.5691410080256"
"Control Magic","U","1581","500","0.316","3.16","14","76","1458.3179755778017"
"Thought Vessel","","1589","500","0.315","3.18","2","0","1387.918276431692"
"Nekrataal","B","1606","500","0.311","3.21","14","32","1413.0844678141316"
"Fellwar Stone","","1621","500","0.308","3.24","12","18","1447.9267680651094"
"Hypnotic Specter","B","1622","500","0.308","3.24","13","73","1377.4878947971272"
"Serra Angel","W","1653","500","0.302","3.31","16","58","1368.3791040862457"
"Incinerate","R","1673","500","0.299","3.35","13","2","1425.3977558973177"
"Fyndhorn Elves","G","1692","500","0.296","3.38","22","87","1425.9300207903088"
"Terror","B","1751","500","0.286","3.50","15","9","1423.334531004472"
"Memory Lapse","U","1762","500","0.284","3.52","13","53","1545.8786415849625"
"Disintegrate","R","1786","500","0.280","3.57","22","42","1412.5195572070597"
"Braingeyser","U","1841","500","0.272","3.68","27","86","1471.3615675686408"
"Utopia Tree","G","1850","500","0.270","3.70","19","37","1451.3897637052557"
"Phyrexian Arena","B","1871","500","0.267","3.74","23","33","1353.4556654516944"
"Sleight of Hand","U","1914","500","0.261","3.83","14","1","1397.8754593773488"
"Vampiric Spirit","B","1952","500","0.256","3.90","28","73","1208.8131373604758"
"Dark Banishing","B","1975","500","0.253","3.95","21","4","1344.6938627471832"
"Land Tax","W","2013","500","0.248","4.03","31","27","1395.4970586208754"
"Shock","R","2047","500","0.244","4.09","29","1","1411.7186110995244"
"Wild Growth","G","2051","500","0.244","4.10","25","11","1360.167350558374"
"Impulse","U","2069","500","0.242","4.14","24","0","1409.0087711291603"
"Pacifism","W","2069","500","0.242","4.14","31","0","1349.9809356869787"
"Glorious Anthem","W","2075","500","0.241","4.15","34","0","1299.311890170172"
"Lightning Blast","R","2079","500","0.241","4.16","30","9","1356.9630952217633"
"Royal Assassin","B","2082","500","0.240","4.16","42","22","1343.127865282484"
"Man-o'-War","U","2106","500","0.237","4.21","33","0","1368.4684710427846"
