"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Arcane Signet","","488","401","0.822","1.22","0","112","1589.7467150111863"
"Chrome Mox","","508","358","0.705","1.42","0","93","1706.1363518491144"
"Skullclamp","","601","404","0.672","1.49","0","123","1648.6196711464422"
"Pyromancer's Gauntlet","","597","378","0.633","1.58","0","111","1209.4482336133353"
"Thoughtseize","B","580","340","0.586","1.71","0","100","1681.7951051168056"
"Urza, Lord High Artificer","U","634","361","0.569","1.76","0","125","1608.9896269320343"
"Ragavan, Nimble Pilferer","R","727","412","0.567","1.76","0","146","1776.0890291409557"
"Dismember","B","716","392","0.547","1.83","0","86","1613.4467142521407"
"Seasoned Dungeoneer","W","738","397","0.538","1.86","0","119","1692.0577866027463"
"Palace Jailer","W","686","369","0.538","1.86","0","122","1535.7234190403747"
"Solitude","W","675","362","0.536","1.86","0","101","1599.9616564779342"
"Ocelot Pride","W","719","378","0.526","1.90","0","120","1646.1344579183422"
"Prismatic Vista","","783","383","0.489","2.04","1","64","1627.8032951599805"
"Scalding Tarn","","851","409","0.481","2.08","2","114","1669.652407381223"
"Command Tower","","841","399","0.474","2.11","3","121","1544.8113421140918"
"Mox Opal","","799","378","0.473","2.11","0","93","1644.3259273211484"
"Path to Exile","W","786","364","0.463","2.16","1","73","1533.219145309285"
"Marsh Flats","","846","379","0.448","2.23","1","44","1587.4193538703603"
"Remand","U","846","376","0.444","2.25","0","89","1551.5275783459915"
"Retrofitter Foundry","","873","386","0.442","2.26","0","73","1520.464575082247"
"Fury","R","883","387","0.438","2.28","1","109","1611.2557967267105"
"Preordain","U","857","363","0.424","2.36","2","72","1545.909689611639"
"Esper Sentinel","W","936","393","0.420","2.38","1","48","1463.3578450860143"
"Ponder","U","906","376","0.415","2.41","1","80","1548.1932273331136"
"Misty Rainforest","","938","388","0.414","2.42","4","105","1667.8287129195205"
"Teferi, Time Raveler","UW","896","365","0.407","2.45","4","105","1564.8534507984375"
"Mishra's Bauble","","936","380","0.406","2.46","0","6","1491.9731999091625"
