"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Infernal Grasp","B","196","30","0.153","","","","1374"
"Three Steps Ahead","U","175","17","0.097","","","","1199"
"Kaito, Bane of Nightmares","BU","115","9","0.078","","","","1051"
"Securitron Squadron","W","237","23","0.097","","","","1220"
"Elite Spellbinder","W","206","19","0.092","","","","1163"
"Contaminated Landscape","BUW","222","20","0.090","","","","1042"
"Restless Spire","RU","234","21","0.090","","","","1227"
"Vaultborn Tyrant","G","238","24","0.101","","","","1177"
"Sunfall","W","276","27","0.098","","","","1081"
"Intrepid Adversary","W","222","24","0.108","","","","1260"
"Solitude","W","108","27","0.250","","","","1483"
"Ajani, Nacatl Pariah","RW","175","47","0.269","","","","1559"
"Pyrogoyf","R","181","38","0.210","","","","1463"
"Hullbreacher","U","100","20","0.200","","","","1507"
"Displacer Kitten","U","139","20","0.144","","","","1377"
"Drown in the Loch","BU","275","23","0.084","","","","1012"
"Gruff Triplets","G","271","29","0.107","","","","1179"
"Glimmer Lens","W","273","39","0.143","","","","1229"
"Undermountain Adventurer","G","100","13","0.130","","","","1347"
"Guide of Souls","W","184","35","0.190","","","","1445"
"Echo of Eons","U","218","23","0.106","","","","1195"
"Oliphaunt","R","201","23","0.114","","","","1275"
"Play with Fire","R","227","16","0.070","","","","1134"
"Xander's Lounge","BRU","212","26","0.123","","","","1341"
"Shattered Landscape","BRW","209","25","0.120","","","","1116"
"Indoraptor, the Perfect Hybrid","BGR","257","27","0.105","","","","1067"
"Amped Raptor","R","207","15","0.072","","","","1118"
"Giver of Runes","W","189","27","0.143","","","","1363"
"Screaming Nemesis","R","113","11","0.097","","","","1212"
"Spitting Dilophosaurus","B","173","16","0.092","","","","1225"
"Uro, Titan of Nature's Wrath","GU","162","24","0.148","","","","1477"
"Serra Paragon","W","257","27","0.105","","","","1230"
"Scrawling Crawler","","277","26","0.094","","","","1156"
"Smuggler's Surprise","G","254","19","0.075","","","","1142"
"Assaultron Dominator","R","241","17","0.071","","","","988"
"Nissa, Ascended Animist","G","165","15","0.091","","","","1242"
"Slickshot Show-Off","R","238","21","0.088","","","","1143"
"Chthonian Nightmare","B","199","11","0.055","","","","1071"
"Bridgeworks Battle","G","283","18","0.064","","","","1006"
"Searslicer Goblin","R","200","24","0.120","","","","1318"
