"Name","Color Identity","Times Seen","Times Picked","Pick Rate","Avg Pick Position","Wheel Count","P1P1 Count","Elo"
"Huntmaster of the Fells","GR","714","128","0.179","","","","1305"
"Elesh Norn, Grand Cenobite","W","884","158","0.179","","","","1514"
"Hinterland Harbor","GU","755","62","0.082","","","","1186"
"Act of Aggression","R","909","64","0.070","","","","1051"
"Bituminous Blast","BR","781","95","0.122","","","","1242"
"Cunning Sparkmage","R","817","60","0.073","","","","1126"
"Aetherling","U","742","59","0.080","","","","1206"
"Frostburn Weird","RU","712","42","0.059","","","","1071"
"Griselbrand","B","672","60","0.089","","","","1361"
"Burning-Tree Emissary","GR","753","82","0.109","","","","1168"
"Blasphemous Act","R","870","100","0.115","","","","1220"
"Kessig Wolf Run","GR","943","89","0.094","","","","1251"
"Signal Pest","","914","62","0.068","","","","1004"
"Shock","R","612","61","0.100","","","","1255"
"Sunpetal Grove","GW","826","85","0.103","","","","1162"
"Deprive","U","769","93","0.121","","","","1334"
"Skinrender","B","635","78","0.123","","","","1288"
"Nightveil Specter","BU","743","67","0.090","","","","1196"
"Stomping Ground","GR","1171","184","0.157","","","","1314"
"Geist of Saint Traft","UW","794","102","0.128","","","","1358"
"Student of Warfare","W","856","85","0.099","","","","1154"
"Basilisk Collar","","855","93","0.109","","","","1256"
"Darkslick Shores","BU","665","68","0.102","","","","1275"
"Blood Artist","B","868","102","0.118","","","","1145"
"Day of Judgment","W","791","128","0.162","","","","1497"
"Dungeon Geists","U","866","90","0.104","","","","1394"
"Thrun, the Last Troll","G","666","93","0.140","","","","1239"
"Abrupt Decay","BG","793","115","0.145","","","","1373"
"Doom Blade","B","642","141","0.220","","","","1536"
"Watery Grave","BU","919","125","0.136","","","","1452"
"Blood Crypt","BR","1058","168","0.159","","","","1413"
"Myr Battlesphere","","845","65","0.077","","","","1217"
"Condemn","W","793","126","0.159","","","","1551"
"Black Sun's Zenith","B","814","98","0.120","","","","1342"
"Dragonmaster Outcast","R","914","94","0.103","","","","1211"
"Terminate","BR","739","110","0.149","","","","1373"
"Viscera Seer","B","1033","100","0.097","","","","996"
"Incinerate","R","615","103","0.167","","","","1363"
"Godless Shrine","BW","1307","195","0.149","","","","1252"
"Pacifism","W","299","31","0.104","","","","1232"
"Ranger of Eos","W","923","95","0.103","","","","1115"
"Geist-Honored Monk","W","965","104","0.108","","","","1231"
"Martial Coup","W","819","109","0.133","","","","1427"
"Trading Post","","845","59","0.070","","","","1117"
"Sin Collector","BW","952","111","0.117","","","","1256"
"Lightning Mauler","R","855","82","0.096","","","","1121"
"Phyrexian Revoker","","779","52","0.067","","","","1083"
"Nantuko Shade","B","898","83","0.092","","","","1056"
"Boros Charm","RW","841","79","0.094","","","","1146"
"Putrefy","BG","908","111","0.122","","","","1184"
"Brittle Effigy","","853","43","0.050","","","","1027"
"Elixir of Immortality","","762","42","0.055","","","","1185"
"Massacre Wurm","B","743","91","0.122","","","","1293"
"Savage Lands","BGR","872","123","0.141","","","","1319"
"Dreg Mangler","BG","1023","109","0.107","","","","1079"
"Despise","B","770","86","0.112","","","","1271"
"Wurmcoil Engine","","537","128","0.238","","","","1614"
"Rewind","U","852","99","0.116","","","","1275"
"Oblivion Ring","W","829","149","0.180","","","","1419"
"Steam Vents","RU","854","99","0.116","","","","1467"
"Oracle of Mul Daya","G","537","66","0.123","","","","1263"
"Bloodbraid Elf","GR","693","147","0.212","","","","1423"
"Lodestone Golem","","219","14","0.064","","","","1043"
"Linvala, Keeper of Silence","W","887","103","0.116","","","","1252"
"Mentor of the Meek","W","816","88","0.108","","","","1147"
"Elspeth, Knight-Errant","W","603","110","0.182","","","","1479"
"Shambleshark","GU","903","55","0.061","","","","921"
"Vampire Lacerator","B","1051","83","0.079","","","","957"
"Deceiver Exarch","U","729","89","0.122","","","","1343"
"Scavenging Ooze","G","686","112","0.163","","","","1425"
"Farseek","G","798","130","0.163","","","","1286"
"Phyrexian Obliterator","B","779","82","0.105","","","","1182"
"Bonehoard","","956","79","0.083","","","","1018"
"Mikaeus, the Lunarch","W","777","83","0.107","","","","1129"
"Tectonic Edge","","931","85","0.091","","","","1183"
"Merfolk Looter","U","807","71","0.088","","","","1128"
"Gideon Jura","W","850","133","0.156","","","","1609"
"Desecration Demon","B","236","17","0.072","","","","1104"
"Underworld Connections","B","844","70","0.083","","","","1206"
"Entreat the Angels","W","824","103","0.125","","","","1304"
"Sundering Growth","GW","898","71","0.079","","","","1098"
"Obstinate Baloth","G","798","107","0.134","","","","1162"
"Boros Reckoner","RW","898","109","0.121","","","","1226"
"Doomed Traveler","W","963","96","0.100","","","","1001"
"Voice of Resurgence","GW","794","127","0.160","","","","1258"
"Overrun","G","323","21","0.065","","","","1104"
"Talrand, Sky Summoner","U","665","67","0.101","","","","1336"
"Strangleroot Geist","G","865","73","0.084","","","","1130"
"Woolly Thoctar","GRW","957","92","0.096","","","","973"
"Razorverge Thicket","GW","801","79","0.099","","","","1146"
"Vengevine","G","912","98","0.107","","","","1120"
"Midnight Haunting","W","911","110","0.121","","","","1205"
"Rootbound Crag","GR","747","84","0.112","","","","1215"
"Kargan Dragonlord","R","819","67","0.082","","","","1069"
"Rafiq of the Many","GUW","900","76","0.084","","","","1051"
"Kiln Fiend","R","841","63","0.075","","","","1047"
"Intangible Virtue","W","973","73","0.075","","","","1039"
"Silverblade Paladin","W","759","85","0.112","","","","1205"
"Maelstrom Pulse","BG","837","115","0.137","","","","1220"
"Vines of Vastwood","G","857","43","0.050","","","","893"
"Gather the Townsfolk","W","932","98","0.105","","","","1089"
"Goblin Wardriver","R","847","61","0.072","","","","1112"
"Gavony Township","GW","1007","92","0.091","","","","1031"
"Bloodgift Demon","B","916","95","0.104","","","","1174"
"Avenger of Zendikar","G","759","88","0.116","","","","1251"
"Mutavault","","875","89","0.102","","","","1228"
"Phyrexian Metamorph","U","662","102","0.154","","","","1375"
"Into the Roil","U","715","80","0.112","","","","1474"
"Barter in Blood","B","934","80","0.086","","","","1191"
"Agony Warp","BU","771","69","0.089","","","","1206"
"Accorder Paladin","W","909","105","0.116","","","","1157"
"Geralf's Messenger","B","914","90","0.098","","","","1091"
"Grisly Salvage","BG","974","82","0.084","","","","1147"
"Cloudfin Raptor","U","955","68","0.071","","","","1074"
"Ajani Vengeant","RW","748","107","0.143","","","","1413"
"Thalia, Guardian of Thraben","W","678","93","0.137","","","","1241"
"Clifftop Retreat","RW","858","94","0.110","","","","1210"
"Sublime Archangel","W","192","19","0.099","","","","1219"
"Primeval Titan","G","487","83","0.170","","","","1449"
"Phyrexian Rager","B","766","84","0.110","","","","1311"
"Hero of Oxid Ridge","R","893","103","0.115","","","","1317"
"Esper Charm","BUW","1039","93","0.090","","","","1173"
"Lotus Cobra","G","572","90","0.157","","","","1403"
"Path to Exile","W","504","168","0.333","","","","1660"
"Staggershock","R","736","85","0.115","","","","1303"
"Obzedat, Ghost Council","BW","909","101","0.111","","","","1089"
"Wolfir Avenger","G","931","83","0.089","","","","1127"
